Year,SLUGGING%, OBP, OPS
1950, 0.34305429530059717, 0.40175424118458436, 0.7448085364851815
1951, 0.3333686755163493, 0.38551695762064303, 0.7188856331369924
1952, 0.3232121153453153, 0.36958251677653065, 0.6927946321218459
1953, 0.33247230109087805, 0.39730814028730427, 0.7297804413781823
1954, 0.3328098613516333, 0.3902020587113992, 0.7230119200630325
1955, 0.33094410501090266, 0.3939825337959086, 0.7249266388068112
1956, 0.3301205078777044, 0.3973955352032055, 0.7275160430809099
1957, 0.3227296655601036, 0.39115021317692505, 0.7138798787370286
1958, 0.32350958087739523, 0.3941808725112434, 0.7176904533886386
1959, 0.322455070395121, 0.3920326476380288, 0.7144877180331498
1960, 0.3227126128271175, 0.38774489965958053, 0.7104575124866981
1961, 0.3269739733842082, 0.39923942616868663, 0.7262133995528948
1962, 0.3244178780503848, 0.3933850101185314, 0.7178028881689162
1963, 0.3068045726728362, 0.37185604749849743, 0.6786606201713337
1964, 0.3105300412208019, 0.3779059241019699, 0.6884359653227718
1965, 0.30881235650177413, 0.3716910123110289, 0.680503368812803
1966, 0.30756410040573073, 0.3763325933843076, 0.6838966937900384
1967, 0.30393707411457893, 0.3573737466233231, 0.661310820737902
1968, 0.2960315169216662, 0.3402441494356576, 0.6362756663573238
1969, 0.31793305508720526, 0.3692368627510721, 0.6871699178382773
1970, 0.3241445974757827, 0.38543211745118816, 0.7095767149269709
1971, 0.31508946044171093, 0.3652638190954774, 0.6803532795371883
1972, 0.30874739116107064, 0.35392700355689427, 0.662674394717965
1973, 0.323862425496518, 0.3786556666137818, 0.7025180921102998
1974, 0.32318085099057287, 0.3691023469634648, 0.6922831979540376
1975, 0.32624676445211387, 0.37402356377355045, 0.7002703282256644
1976, 0.31955446232524526, 0.3609579927770386, 0.6805124551022839
1977, 0.32836918551204264, 0.40111409004403575, 0.7294832755560784
1978, 0.3227810975098786, 0.37863343858385073, 0.7014145360937294
1979, 0.3293753556744867, 0.39748025099445344, 0.7268556066689402
1980, 0.32624086431522087, 0.3877774694783574, 0.7140183337935783
1981, 0.31959161949000825, 0.3685731525294547, 0.688164772019463
1982, 0.32361179033477083, 0.3887089053687504, 0.7123206957035213
1983, 0.32447661980440096, 0.3892697404171718, 0.7137463602215728
1984, 0.32263011536821745, 0.38474855557641363, 0.707378670944631
1985, 0.32257365546513034, 0.39096278175781934, 0.7135364372229497
1986, 0.3248333153248206, 0.39509175017120174, 0.7199250654960223
1987, 0.3299008101764216, 0.4153787431902564, 0.7452795533666781
1988, 0.31647294795309605, 0.3777144941361315, 0.6941874420892276
1989, 0.3186525017748754, 0.3751899230505318, 0.6938424248254071
1990, 0.32351551525986466, 0.38540849490081813, 0.7089240101606828
1991, 0.3220220194709211, 0.3846595042247216, 0.7066815236956427
1992, 0.3207750819085817, 0.37727702158927884, 0.6980521034978606
1993, 0.33037241703653625, 0.40328397690248075, 0.733656393939017
1994, 0.3366969529724787, 0.4243193731521956, 0.7610163261246743
1995, 0.3351525740947968, 0.41728788851924287, 0.7524404626140397
1996, 0.3378544079031083, 0.4266745747794976, 0.7645289826826058
1997, 0.33393141013652516, 0.41920894504561307, 0.7531403551821383
1998, 0.3319623235619379, 0.4201871753751885, 0.7521494989371265
1999, 0.3416690537056754, 0.4338562607696726, 0.775525314475348
2000, 0.34770710849812936, 0.4371450774104848, 0.7848521859086142
2001, 0.33477409884195075, 0.42663955628812394, 0.7614136551300748
2002, 0.33372917733448093, 0.4166576077109831, 0.750386785045464
2003, 0.33497763924651036, 0.4220598907261136, 0.757037529972624
2004, 0.33757044627207766, 0.42777840851374044, 0.765348854785818
2005, 0.33268971686329696, 0.41891965010370635, 0.7516093669670033
2006, 0.3391097537904381, 0.4318726432852678, 0.7709823970757059
2007, 0.338390341401919, 0.4226947902946067, 0.7610851316965257
2008, 0.33553482782328137, 0.4162337896037525, 0.7517686174270339
2009, 0.3354033217609571, 0.4177595282455728, 0.7531628500065299
2010, 0.3277917670243048, 0.40284119429342075, 0.7306329613177256
2011, 0.3227999144159713, 0.39901028936966293, 0.7218102037856342
2012, 0.32110617566986677, 0.4053228119648293, 0.7264289876346961
2013, 0.31972718194089306, 0.3964713674956344, 0.7161985494365275
2014, 0.3158931191597807, 0.3863683021966742, 0.7022614213564549
2015, 0.3189448176504032, 0.4045791839891714, 0.7235240016395746